,category,condition
250,V03.90XD,"Ped on foot injured pickup truck, pkup/van, unsp, subs"
251,V03.90XS,"Ped on foot injured pickup truck, pkup/van, unsp, sequela"
252,V03.91XA,"Ped on rolrskt injured pickup truck, pkup/van, unsp, init"
253,V03.91XD,"Ped on rolrskt injured pickup truck, pkup/van, unsp, subs"
254,V03.91XS,"Ped on rolrskt inj pickup truck, pkup/van, unsp, sequela"
255,V03.92XA,"Ped on sktbrd injured pickup truck, pkup/van, unsp, init"
256,V03.92XD,"Ped on sktbrd injured pickup truck, pkup/van, unsp, subs"
257,V03.92XS,"Ped on sktbrd inj pickup truck, pkup/van, unsp, sequela"
258,V03.99XA,"Ped w convey injured pickup truck, pkup/van, unsp, init"
259,V03.99XD,"Ped w convey injured pickup truck, pkup/van, unsp, subs"
260,V03.99XS,"Ped w convey injured pickup truck, pkup/van, unsp, sequela"
261,V04.00XA,"Ped on foot injured in collision w hv veh nontraf, init"
262,V04.00XD,"Ped on foot injured in collision w hv veh nontraf, subs"
263,V04.00XS,"Ped on foot injured in collision w hv veh nontraf, sequela"
264,V04.01XA,"Ped on rolrskt injured in collision w hv veh nontraf, init"
265,V04.01XD,"Ped on rolrskt injured in collision w hv veh nontraf, subs"
266,V04.01XS,"Ped on rolrskt injured in clsn w hv veh nontraf, sequela"
267,V04.02XA,"Ped on sktbrd injured in collision w hv veh nontraf, init"
268,V04.02XD,"Ped on sktbrd injured in collision w hv veh nontraf, subs"
269,V04.02XS,"Ped on sktbrd injured in collision w hv veh nontraf, sequela"
270,V04.09XA,"Ped w convey injured in collision w hv veh nontraf, init"
271,V04.09XD,"Ped w convey injured in collision w hv veh nontraf, subs"
272,V04.09XS,"Ped w convey injured in collision w hv veh nontraf, sequela"
273,V04.10XA,"Ped on foot injured in collision w hv veh in traf, init"
274,V04.10XD,"Ped on foot injured in collision w hv veh in traf, subs"
275,V04.10XS,"Ped on foot injured in collision w hv veh in traf, sequela"
276,V04.11XA,"Ped on rolrskt injured in collision w hv veh in traf, init"
277,V04.11XD,"Ped on rolrskt injured in collision w hv veh in traf, subs"
278,V04.11XS,"Ped on rolrskt injured in clsn w hv veh in traf, sequela"
279,V04.12XA,"Ped on sktbrd injured in collision w hv veh in traf, init"
280,V04.12XD,"Ped on sktbrd injured in collision w hv veh in traf, subs"
281,V04.12XS,"Ped on sktbrd injured in collision w hv veh in traf, sequela"
282,V04.19XA,"Ped w convey injured in collision w hv veh in traf, init"
283,V04.19XD,"Ped w convey injured in collision w hv veh in traf, subs"
284,V04.19XS,"Ped w convey injured in collision w hv veh in traf, sequela"
285,V04.90XA,"Pedestrian on foot injured in collision w hv veh, unsp, init"
286,V04.90XD,"Pedestrian on foot injured in collision w hv veh, unsp, subs"
287,V04.90XS,"Ped on foot injured in collision w hv veh, unsp, sequela"
288,V04.91XA,"Ped on rolrskt injured in collision w hv veh, unsp, init"
289,V04.91XD,"Ped on rolrskt injured in collision w hv veh, unsp, subs"
290,V04.91XS,"Ped on rolrskt injured in collision w hv veh, unsp, sequela"
291,V04.92XA,"Ped on skateboard injured in collision w hv veh, unsp, init"
292,V04.92XD,"Ped on skateboard injured in collision w hv veh, unsp, subs"
293,V04.92XS,"Ped on sktbrd injured in collision w hv veh, unsp, sequela"
294,V04.99XA,"Ped w convey injured in collision w hv veh, unsp, init"
295,V04.99XD,"Ped w convey injured in collision w hv veh, unsp, subs"
296,V04.99XS,"Ped w convey injured in collision w hv veh, unsp, sequela"
297,V05.00XA,"Ped on foot injured in clsn w rail trn/veh nontraf, init"
298,V05.00XD,"Ped on foot injured in clsn w rail trn/veh nontraf, subs"
299,V05.00XS,"Ped on foot injured in clsn w rail trn/veh nontraf, sequela"
300,V05.01XA,"Ped on rolrskt injured in clsn w rail trn/veh nontraf, init"
301,V05.01XD,"Ped on rolrskt injured in clsn w rail trn/veh nontraf, subs"
302,V05.01XS,"Ped on rolrskt inj in clsn w rail trn/veh nontraf, sequela"
303,V05.02XA,"Ped on sktbrd injured in clsn w rail trn/veh nontraf, init"
304,V05.02XD,"Ped on sktbrd injured in clsn w rail trn/veh nontraf, subs"
305,V05.02XS,"Ped on sktbrd inj in clsn w rail trn/veh nontraf, sequela"
306,V05.09XA,"Ped w convey injured in clsn w rail trn/veh nontraf, init"
307,V05.09XD,"Ped w convey injured in clsn w rail trn/veh nontraf, subs"
308,V05.09XS,"Ped w convey injured in clsn w rail trn/veh nontraf, sequela"
309,V05.10XA,"Ped on foot injured in clsn w rail trn/veh in traf, init"
310,V05.10XD,"Ped on foot injured in clsn w rail trn/veh in traf, subs"
311,V05.10XS,"Ped on foot injured in clsn w rail trn/veh in traf, sequela"
312,V05.11XA,"Ped on rolrskt injured in clsn w rail trn/veh in traf, init"
313,V05.11XD,"Ped on rolrskt injured in clsn w rail trn/veh in traf, subs"
314,V05.11XS,"Ped on rolrskt inj in clsn w rail trn/veh in traf, sequela"
315,V05.12XA,"Ped on sktbrd injured in clsn w rail trn/veh in traf, init"
316,V05.12XD,"Ped on sktbrd injured in clsn w rail trn/veh in traf, subs"
317,V05.12XS,"Ped on sktbrd inj in clsn w rail trn/veh in traf, sequela"
318,V05.19XA,"Ped w convey injured in clsn w rail trn/veh in traf, init"
319,V05.19XD,"Ped w convey injured in clsn w rail trn/veh in traf, subs"
320,V05.19XS,"Ped w convey injured in clsn w rail trn/veh in traf, sequela"
321,V05.90XA,"Ped on foot injured in collision w rail trn/veh, unsp, init"
322,V05.90XD,"Ped on foot injured in collision w rail trn/veh, unsp, subs"
323,V05.90XS,"Ped on foot injured in clsn w rail trn/veh, unsp, sequela"
324,V05.91XA,"Ped on rolrskt injured in clsn w rail trn/veh, unsp, init"
325,V05.91XD,"Ped on rolrskt injured in clsn w rail trn/veh, unsp, subs"
326,V05.91XS,"Ped on rolrskt inj in clsn w rail trn/veh, unsp, sequela"
327,V05.92XA,"Ped on sktbrd injured in clsn w rail trn/veh, unsp, init"
328,V05.92XD,"Ped on sktbrd injured in clsn w rail trn/veh, unsp, subs"
329,V05.92XS,"Ped on sktbrd injured in clsn w rail trn/veh, unsp, sequela"
330,V05.99XA,"Ped w convey injured in collision w rail trn/veh, unsp, init"
331,V05.99XD,"Ped w convey injured in collision w rail trn/veh, unsp, subs"
332,V05.99XS,"Ped w convey injured in clsn w rail trn/veh, unsp, sequela"
333,V06.00XA,"Ped on foot injured in clsn w nonmtr vehicle nontraf, init"
334,V06.00XD,"Ped on foot injured in clsn w nonmtr vehicle nontraf, subs"
335,V06.00XS,"Ped on foot inj in clsn w nonmtr vehicle nontraf, sequela"
336,V06.01XA,"Ped on rolrskt inj in clsn w nonmtr vehicle nontraf, init"
337,V06.01XD,"Ped on rolrskt inj in clsn w nonmtr vehicle nontraf, subs"
338,V06.01XS,"Ped on rolrskt inj in clsn w nonmtr vehicle nontraf, sqla"
339,V06.02XA,"Ped on sktbrd injured in clsn w nonmtr vehicle nontraf, init"
340,V06.02XD,"Ped on sktbrd injured in clsn w nonmtr vehicle nontraf, subs"
341,V06.02XS,"Ped on sktbrd inj in clsn w nonmtr vehicle nontraf, sequela"
342,V06.09XA,"Ped w convey injured in clsn w nonmtr vehicle nontraf, init"
343,V06.09XD,"Ped w convey injured in clsn w nonmtr vehicle nontraf, subs"
344,V06.09XS,"Ped w convey inj in clsn w nonmtr vehicle nontraf, sequela"
345,V06.10XA,"Ped on foot injured in clsn w nonmtr vehicle in traf, init"
346,V06.10XD,"Ped on foot injured in clsn w nonmtr vehicle in traf, subs"
347,V06.10XS,"Ped on foot inj in clsn w nonmtr vehicle in traf, sequela"
348,V06.11XA,"Ped on rolrskt inj in clsn w nonmtr vehicle in traf, init"
349,V06.11XD,"Ped on rolrskt inj in clsn w nonmtr vehicle in traf, subs"
350,V06.11XS,"Ped on rolrskt inj in clsn w nonmtr vehicle in traf, sqla"
351,V06.12XA,"Ped on sktbrd injured in clsn w nonmtr vehicle in traf, init"
352,V06.12XD,"Ped on sktbrd injured in clsn w nonmtr vehicle in traf, subs"
353,V06.12XS,"Ped on sktbrd inj in clsn w nonmtr vehicle in traf, sequela"
354,V06.19XA,"Ped w convey injured in clsn w nonmtr vehicle in traf, init"
355,V06.19XD,"Ped w convey injured in clsn w nonmtr vehicle in traf, subs"
356,V06.19XS,"Ped w convey inj in clsn w nonmtr vehicle in traf, sequela"
357,V06.90XA,"Ped on foot injured in clsn w nonmtr vehicle, unsp, init"
358,V06.90XD,"Ped on foot injured in clsn w nonmtr vehicle, unsp, subs"
359,V06.90XS,"Ped on foot injured in clsn w nonmtr vehicle, unsp, sequela"
360,V06.91XA,"Ped on rolrskt injured in clsn w nonmtr vehicle, unsp, init"
361,V06.91XD,"Ped on rolrskt injured in clsn w nonmtr vehicle, unsp, subs"
362,V06.91XS,"Ped on rolrskt inj in clsn w nonmtr vehicle, unsp, sequela"
363,V06.92XA,"Ped on sktbrd injured in clsn w nonmtr vehicle, unsp, init"
364,V06.92XD,"Ped on sktbrd injured in clsn w nonmtr vehicle, unsp, subs"
365,V06.92XS,"Ped on sktbrd inj in clsn w nonmtr vehicle, unsp, sequela"
366,V06.99XA,"Ped w convey injured in clsn w nonmtr vehicle, unsp, init"
367,V06.99XD,"Ped w convey injured in clsn w nonmtr vehicle, unsp, subs"
368,V06.99XS,"Ped w convey injured in clsn w nonmtr vehicle, unsp, sequela"
369,V09.00XA,"Pedestrian injured nontraf involving unsp mv, init"
370,V09.00XD,"Pedestrian injured nontraf involving unsp mv, subs"
371,V09.00XS,"Pedestrian injured nontraf involving unsp mv, sequela"
372,V09.01XA,"Pedestrian injured nontraf involving military vehicle, init"
373,V09.01XD,"Pedestrian injured nontraf involving military vehicle, subs"
374,V09.01XS,"Ped injured nontraf involving military vehicle, sequela"
375,V09.09XA,"Pedestrian injured nontraf involving oth mv, init"
376,V09.09XD,"Pedestrian injured nontraf involving oth mv, subs"
377,V09.09XS,"Pedestrian injured nontraf involving oth mv, sequela"
378,V09.1XXA,"Pedestrian injured in unsp nontraffic accident, init encntr"
379,V09.1XXD,"Pedestrian injured in unsp nontraffic accident, subs encntr"
380,V09.1XXS,"Pedestrian injured in unsp nontraffic accident, sequela"
381,V09.20XA,"Pedestrian injured in traf involving unsp mv, init"
382,V09.20XD,"Pedestrian injured in traf involving unsp mv, subs"
383,V09.20XS,"Pedestrian injured in traf involving unsp mv, sequela"
384,V09.21XA,"Pedestrian injured in traf involving military vehicle, init"
385,V09.21XD,"Pedestrian injured in traf involving military vehicle, subs"
386,V09.21XS,"Ped injured in traf involving military vehicle, sequela"
387,V09.29XA,"Pedestrian injured in traf involving oth mv, init"
388,V09.29XD,"Pedestrian injured in traf involving oth mv, subs"
