,category,condition
240,T53.7X1A,"Toxic effect of halgn deriv of aromatic hydrocrb, acc, init"
241,T53.7X1D,"Toxic effect of halgn deriv of aromatic hydrocrb, acc, subs"
242,T53.7X1S,"Toxic effect of halgn deriv of aromatic hydrocrb, acc, sqla"
243,T53.7X2A,"Toxic eff of halgn deriv of aromatic hydrocrb, slfhrm, init"
244,T53.7X2D,"Toxic eff of halgn deriv of aromatic hydrocrb, slfhrm, subs"
245,T53.7X2S,"Toxic eff of halgn deriv of aromatic hydrocrb, slfhrm, sqla"
246,T53.7X3A,"Toxic eff of halgn deriv of aromatic hydrocrb, asslt, init"
247,T53.7X3D,"Toxic eff of halgn deriv of aromatic hydrocrb, asslt, subs"
248,T53.7X3S,"Toxic eff of halgn deriv of aromatic hydrocrb, asslt, sqla"
249,T53.7X4A,"Toxic eff of halgn deriv of aromatic hydrocrb, undet, init"
250,T53.7X4D,"Toxic eff of halgn deriv of aromatic hydrocrb, undet, subs"
251,T53.7X4S,"Toxic eff of halgn deriv of aromatic hydrocrb, undet, sqla"
252,T53.91XA,"Toxic eff of unsp halgn deriv of aromat hydrocrb, acc, init"
253,T53.91XD,"Toxic eff of unsp halgn deriv of aromat hydrocrb, acc, subs"
254,T53.91XS,"Toxic eff of unsp halgn deriv of aromat hydrocrb, acc, sqla"
255,T53.92XA,"Tox eff of unsp halgn deriv of aromat hydrocrb,slfhrm, init"
256,T53.92XD,"Tox eff of unsp halgn deriv of aromat hydrocrb,slfhrm, subs"
257,T53.92XS,"Tox eff of unsp halgn deriv of aromat hydrocrb,slfhrm, sqla"
258,T53.93XA,"Tox eff of unsp halgn deriv of aromat hydrocrb, asslt, init"
259,T53.93XD,"Tox eff of unsp halgn deriv of aromat hydrocrb, asslt, subs"
260,T53.93XS,"Tox eff of unsp halgn deriv of aromat hydrocrb, asslt, sqla"
261,T53.94XA,"Tox eff of unsp halgn deriv of aromat hydrocrb, undet, init"
262,T53.94XD,"Tox eff of unsp halgn deriv of aromat hydrocrb, undet, subs"
263,T53.94XS,"Tox eff of unsp halgn deriv of aromat hydrocrb, undet, sqla"
264,T54.0X1A,"Toxic effect of phenol and phenol homologues, acc, init"
265,T54.0X1D,"Toxic effect of phenol and phenol homologues, acc, subs"
266,T54.0X1S,"Toxic effect of phenol and phenol homologues, acc, sequela"
267,T54.0X2A,"Toxic effect of phenol and phenol homolog, selfharm, init"
268,T54.0X2D,"Toxic effect of phenol and phenol homolog, selfharm, subs"
269,T54.0X2S,"Toxic effect of phenol and phenol homolog, slfhrm, sequela"
270,T54.0X3A,"Toxic effect of phenol and phenol homologues, assault, init"
271,T54.0X3D,"Toxic effect of phenol and phenol homologues, assault, subs"
272,T54.0X3S,"Toxic effect of phenol and phenol homolog, assault, sequela"
273,T54.0X4A,"Toxic effect of phenol and phenol homologues, undet, init"
274,T54.0X4D,"Toxic effect of phenol and phenol homologues, undet, subs"
275,T54.0X4S,"Toxic effect of phenol and phenol homologues, undet, sequela"
276,T54.1X1A,"Toxic effect of corrosive organic compounds, acc, init"
277,T54.1X1D,"Toxic effect of corrosive organic compounds, acc, subs"
278,T54.1X1S,"Toxic effect of corrosive organic compounds, acc, sequela"
